Id,Total_Deaths
1,26
2,45
3,60
4,84
5,110
6,137
7,176
8,220
9,266
10,311
11,369
12,433
13,500
14,573
15,646
16,732
17,826
18,924
19,1032
20,1129
21,1275
22,1397
23,1530
24,1672
25,1778
26,1876
27,2012
28,2129
29,2250
30,2363
31,2463
32,2621
33,2702
34,2766
35,2803
36,2861
37,2926
38,2980
39,3053
40,3120
41,3206
42,3291
43,3394
44,3503
45,3610
46,3837
47,4036
48,4313
49,4647
50,5032
51,5495
52,5919
53,6630
54,7313
55,8192
56,9216
57,10309
58,11740
59,13450
60,15265
61,17353
62,19956
63,22590
64,25771
65,29365
66,33283
67,36961
68,41428
69,46307
70,51696
71,58124
72,64406
73,70801
74,76337
75,82604
76,90112
77,97029
78,104879
79,112120
80,118686
81,124895
82,131193
83,138728
84,147174
85,154178
86,163017
87,169710
88,175447
89,181940
90,189299
91,196271
92,203512
93,210057
94,216644
95,221442
96,227068
97,234308
98,241545
99,247912
100,254416
101,260765
102,265545
103,271126
104,277566
105,284871
106,291237
107,297321
108,302883
109,308180
110,312980
111,319170
112,324967
113,330929
114,336731
115,341654
116,346015
117,350678
118,356493
119,361869
120,367647
121,373153
122,378007
123,381979
124,386549
125,391356
126,396910
127,402081
128,407442
129,412325
130,416576
131,420746
132,426314
133,431884
134,437549
135,442749
136,447702
137,452372
138,456775
139,462284
140,468141
141,473789
142,479214
143,484352
144,488803
145,493457
146,500865
147,506805
148,512771
149,518620
150,523711
151,528232
152,532345
153,538165
154,543738
155,549310
156,554715
157,559936
158,564256
159,569056
160,574832
161,580304
162,586004
163,591749
164,597007
165,601412
166,606035
167,612268
168,618193
169,624308
170,630313
171,635993
172,641102
173,645955
174,652317
175,658681
176,665348
177,671675
178,677467
179,682611
180,687752
181,694482
182,702101
183,709034
184,715900
185,722259
186,727403
187,732754
188,739250
189,746500
190,753501
191,760291
192,766498
193,771575
194,777053
195,783940
196,791348
197,798369
198,805335
199,811381
200,816824
201,822187
202,828945
203,835897
204,842912
205,849376
206,855439
207,860620
208,865863
209,872747
210,879624
211,886269
212,892896
213,898951
214,904030
215,909133
216,915803
217,922409
218,928928
219,935181
220,940891
221,945632
222,950539
223,956978
224,963493
225,969663
226,975800
227,981122
228,985767
229,990374
230,995432
231,1001538
232,1007439
233,1013370
234,1018639
235,1023026
236,1027824
237,1034135
238,1040135
239,1045839
240,1051659
241,1056855
242,1061192
243,1065474
244,1071211
245,1077071
246,1082566
247,1088080
248,1093352
249,1097510
250,1101546
251,1107314
252,1112991
253,1118581
254,1124309
255,1129274
256,1133645
257,1138418
258,1144303
259,1150299
260,1156907
261,1162878
262,1168217
263,1172938
264,1177308
265,1182556
266,1188746
267,1194869
268,1201290
269,1207112
270,1211609
271,1216651
272,1223183
273,1230108
274,1236758
275,1243471
276,1249441
277,1254368
278,1260185
279,1267439
280,1274565
281,1281804
282,1289427
283,1296367
284,1302410
285,1309154
286,1317759
287,1327017
288,1336401
289,1345907
290,1354018
291,1360993
292,1368806
293,1378568
294,1388548
295,1398308
296,1408606
297,1418307
298,1426247
299,1434863
300,1445682
301,1457583
302,1468985
303,1480357
304,1490174
305,1498771
306,1508140
307,1520418
308,1532567
309,1544031
310,1555278
311,1565380
312,1574010
313,1583746
314,1596270
315,1608632
316,1621432
317,1633936
318,1644902
319,1653681
320,1663315
321,1675724
322,1688253
323,1701219
324,1713922
325,1725231
326,1734228
327,1744340
328,1757820
329,1771550
330,1784950
331,1798092
332,1809626
333,1818891
334,1829932
335,1843713
336,1857265
337,1869530
338,1879190
339,1887877
340,1897016
341,1907917
342,1922960
343,1938195
344,1952147
345,1962904
346,1972451
347,1981445
348,1992462
349,2007219
350,2022080
351,2037011
352,2052143
353,2065197
354,2075646
355,2087122
356,2103666
357,2120039
358,2135973
359,2151543
360,2165386
361,2176237
362,2187710
363,2203510
364,2220515
365,2237442
366,2253357
367,2267934
